日付,勘定科目,品目,金額
2022/5/31,商品売上高（4111）,野菜等,413815
2022/5/31,商品売上高（4111）,温泉たまご,107940
2022/5/31,商品売上高（4111）,道の駅茶の道,3600
2022/5/31,商品売上高（4111）,あら塩・灘の塩（食塩）,895
2022/5/31,商品売上高（4111）,コーヒー自動販売機,43100
2022/5/31,商品売上高（4111）,ドリンク類,17870
2022/5/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,61760
2022/5/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,26100
2022/5/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,5070
2022/5/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・黒糖くるみ,81940
2022/5/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,5850
2022/5/31,商品売上高（4111）,天ぷら・ちくわほか,18820
2022/5/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,14000
2022/5/31,商品売上高（4111）,やまや（明太高菜ほか）,52620
2022/5/31,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳・シュークリーム）,61800
2022/5/31,商品売上高（4111）,ソフトクリーム・コーン,1177110
2022/5/31,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,8800
2022/5/31,商品売上高（4111）,キムチたけのこほか,21840
2022/5/31,商品売上高（4111）,キムチたけのこほか,2122930
2022/5/31,商品売上高（4111）,野菜袋（アサヒ）,41555
2022/5/31,商品売上高（4111）,中島潔グッズ,1325
2022/5/31,商品売上高（4111）,クロネコヤマト宅急便,10430
2022/5/31,商品売上高（4111）,道の駅切符,6120
2022/5/31,商品売上高（4111）,連絡線記念指定券,2800
2022/5/31,商品売上高（4111）,道の駅スタンプブック,5760
2022/5/31,商品売上高（4111）,指定ごみ袋,27000
2022/5/31,商品売上高（4111）,粗大ごみ処理券,2930
2022/5/31,商品売上高（4111）,エスカップ・チオビタ（トライアル）,2900
2022/5/31,商品売上高（4111）,ソフトクリーム用カップ・スプーン,130
