年月,損益合計
2022-04,1253771.0
2022-05,1816763.0
2022-06,472284.0
2022-07,-562087.0
2022-08,1114946.0
2022-09,-854580.0
2022-10,1144839.0
2022-11,1011388.0
2022-12,156453.0
2023-01,1687.0
2023-02,82147.0
2023-03,861490.0
2023-04,1384479.0
2023-05,2143968.0
2023-06,603781.0
2023-07,181082.0
2023-08,2303333.0
2023-09,1262278.0
2023-10,2345406.0
2023-11,885859.0
2023-12,-536494.0
2024-01,602143.0
2024-02,841647.0
2024-03,-204134.0
2024-04,1384479.0
2024-05,4182584.0
2024-06,603781.0
2024-07,513899.0
2024-08,2303333.0
2024-09,1262278.0
2024-10,4605873.0
2024-11,644479.0
2024-12,1037061.0
2025-01,602143.0
2025-02,1659439.0
