date,day,日,曜,col,客数,売上,祝祭日
2021/4/1,1,1,木,,362,335920,
2021/4/2,2,2,金,,371,312460,
2021/4/3,3,3,土,,619,619375,
2021/4/4,4,4,日,,492,550175,
2021/4/5,5,5,月,,319,293845,
2021/4/6,6,6,火,,338,338120,
2021/4/7,7,7,水,,367,359975,
2021/4/8,8,8,木,,409,334085,
2021/4/9,9,9,金,,368,354130,
2021/4/10,10,10,土,,626,626525,
2021/4/11,11,11,日,,796,726915,
2021/4/12,12,12,月,,305,305965,
2021/4/13,13,13,火,,298,276415,
2021/4/14,14,14,水,,390,374685,
2021/4/15,15,15,木,,348,335890,
2021/4/16,16,16,金,,351,353395,
2021/4/17,17,17,土,,540,544870,
2021/4/18,18,18,日,,682,720375,
2021/4/19,19,19,月,,394,339950,
2021/4/20,20,20,火,,355,331345,
2021/4/21,21,21,水,,406,421395,
2021/4/22,22,22,木,,388,354545,
2021/4/23,23,23,金,,367,359075,
2021/4/24,24,24,土,,577,603065,
2021/4/25,25,25,日,,687,683695,
2021/4/26,26,26,月,,337,287765,
2021/4/27,27,27,火,,343,307820,
2021/4/28,28,28,水,,313,311185,
2021/4/29,29,29,木,,401,440530,
2021/4/30,30,30,金,,401,411895,
2021/5/1,1,1,土,,488,519340,
2021/5/2,2,2,日,,706,766660,
2021/5/3,3,3,月,,876,794325,
2021/5/4,4,4,火,,808,774650,
2021/5/5,5,5,水,,525,504735,
2021/5/6,6,6,木,,391,328765,
2021/5/7,7,7,金,,307,291930,
2021/5/8,8,8,土,,467,438215,
2021/5/9,9,9,日,,583,513255,
2021/5/10,10,10,月,,316,301105,
2021/5/11,11,11,火,,330,300565,
2021/5/12,12,12,水,,282,274675,
2021/5/13,13,13,木,,323,275255,
2021/5/14,14,14,金,,377,317025,
2021/5/15,15,15,土,,294,314270,
2021/5/16,16,16,日,,514,462210,
2021/5/17,17,17,月,,300,249410,
2021/5/18,18,18,火,,291,261390,
2021/5/19,19,19,水,,333,301745,
2021/5/20,20,20,木,,195,170205,
2021/5/21,21,21,金,,298,285695,
2021/5/22,22,22,土,,546,549210,
2021/5/23,23,23,日,,716,665615,
2021/5/24,24,24,月,,328,309675,
2021/5/25,25,25,火,,383,330060,
2021/5/26,26,26,水,,342,362860,
2021/5/27,27,27,木,,347,342745,
2021/5/28,28,28,金,,379,379995,
2021/5/29,29,29,土,,642,617870,
2021/5/30,30,30,日,,711,709550,
2021/5/31,31,31,月,,387,394335,
2021/6/1,1,1,火,,388,354730,
2021/6/2,2,2,水,,363,341630,
2021/6/3,3,3,木,,276,266575,
2021/6/4,4,4,金,,279,264550,
2021/6/5,5,5,土,,561,600640,
2021/6/6,6,6,日,,853,805045,
2021/6/7,7,7,月,,401,344805,
2021/6/8,8,8,火,,399,358345,
2021/6/9,9,9,水,,455,402075,
2021/6/10,10,10,木,,416,357460,
2021/6/11,11,11,金,,329,320565,
2021/6/12,12,12,土,,548,578430,
2021/6/13,13,13,日,,758,721180,
2021/6/14,14,14,月,,399,374615,
2021/6/15,15,15,火,,340,346210,
2021/6/16,16,16,水,,348,329025,
2021/6/17,17,17,木,,425,364280,
2021/6/18,18,18,金,,312,297115,
2021/6/19,19,19,土,,612,599780,
2021/6/20,20,20,日,,822,823290,
2021/6/21,21,21,月,,387,359870,
2021/6/22,22,22,火,,376,353420,
2021/6/23,23,23,水,,375,328125,
2021/6/24,24,24,木,,401,338085,
2021/6/25,25,25,金,,394,347355,
2021/6/26,26,26,土,,632,579365,
2021/6/27,27,27,日,,735,693275,
2021/6/28,28,28,月,,319,291930,
2021/6/29,29,29,火,,380,310010,
2021/6/30,30,30,水,,348,315985,
2021/7/1,1,1,木,,393,330715,
2021/7/2,2,2,金,,394,340635,
2021/7/3,3,3,土,,404,386725,
2021/7/4,4,4,日,,562,592480,
2021/7/5,5,5,月,,301,268240,
2021/7/6,6,6,火,,292,258240,
2021/7/7,7,7,水,,271,264100,
2021/7/8,8,8,木,,269,231155,
2021/7/9,9,9,金,,291,235970,
2021/7/10,10,10,土,,390,355745,
2021/7/11,11,11,日,,630,623650,
2021/7/12,12,12,月,,365,301075,
2021/7/13,13,13,火,,330,290245,
2021/7/14,14,14,水,,383,312905,
2021/7/15,15,15,木,,317,279040,
2021/7/16,16,16,金,,363,316535,
2021/7/17,17,17,土,,523,467985,
2021/7/18,18,18,日,,666,652935,
2021/7/19,19,19,月,,352,323210,
2021/7/20,20,20,火,,356,315215,
2021/7/21,21,21,水,,381,362860,
2021/7/22,22,22,木,,656,634325,
2021/7/23,23,23,金,,743,722475,
2021/7/24,24,24,土,,608,573570,
2021/7/25,25,25,日,,720,686200,
2021/7/26,26,26,月,,353,327815,
2021/7/27,27,27,火,,344,301090,
2021/7/28,28,28,水,,356,301870,
2021/7/29,29,29,木,,350,293240,
2021/7/30,30,30,金,,374,376480,
2021/7/31,31,31,土,,555,544155,
2021/8/1,1,1,日,,519,555475,
2021/8/2,2,2,月,,349,329005,
2021/8/3,3,3,火,,306,275270,
2021/8/4,4,4,水,,327,321485,
2021/8/5,5,5,木,,335,327705,
2021/8/6,6,6,金,,400,369495,
2021/8/7,7,7,土,,508,481890,
2021/8/8,8,8,日,,680,703295,
2021/8/9,9,9,月,,1005,515465,
2021/8/10,10,10,火,,512,507740,
2021/8/11,11,11,水,,404,500015,
2021/8/12,12,12,木,,458,549040,
2021/8/13,13,13,金,,365,417035,
2021/8/14,14,14,土,,141,178170,
2021/8/15,15,15,日,,456,436000,
2021/8/16,16,16,月,,200,198340,
2021/8/17,17,17,火,,140,120835,
2021/8/18,18,18,水,,277,280215,
2021/8/19,19,19,木,,294,234960,
2021/8/20,20,20,金,,321,305855,
2021/8/21,21,21,土,,457,410780,
2021/8/22,22,22,日,,,,
2021/8/23,23,23,月,,,,
2021/8/24,24,24,火,,,,
2021/8/25,25,25,水,,,,
