date,day,日,曜,col,客数,売上,祝祭日,祝祭日前日,振替休日,
2021/4/1 0:00,1,1,木,曇時々晴,362,335920,0,0,0,
2021/4/2 0:00,2,2,金,曇時々晴,371,312460,0,0,0,
2021/4/3 0:00,3,3,土,曇時々晴,619,619375,0,0,0,
2021/4/4 0:00,4,4,日,曇時々雨,492,550175,0,0,0,
2021/4/5 0:00,5,5,月,晴時々曇,319,293845,0,0,0,
2021/4/6 0:00,6,6,火,晴,338,338120,0,0,0,
2021/4/7 0:00,7,7,水,晴,367,359975,0,0,0,
2021/4/8 0:00,8,8,木,曇後一時晴,409,334085,0,0,0,
2021/4/9 0:00,9,9,金,晴時々曇,368,354130,0,0,0,
2021/4/10 0:00,10,10,土,晴後一時曇,626,626525,0,0,0,
2021/4/11 0:00,11,11,日,晴一時曇,796,726915,0,0,0,
2021/4/12 0:00,12,12,月,曇後時々雨,305,305965,0,0,0,
2021/4/13 0:00,13,13,火,雨時々曇後晴,298,276415,0,0,0,
2021/4/14 0:00,14,14,水,曇時々晴,390,374685,0,0,0,
2021/4/15 0:00,15,15,木,晴時々曇,348,335890,0,0,0,
2021/4/16 0:00,16,16,金,曇時々雨,351,353395,0,0,0,
2021/4/17 0:00,17,17,土,雨後曇時々晴,540,544870,0,0,0,
2021/4/18 0:00,18,18,日,晴時々曇一時雨,682,720375,0,0,0,
2021/4/19 0:00,19,19,月,晴,394,339950,0,0,0,
2021/4/20 0:00,20,20,火,晴,355,331345,0,0,0,
2021/4/21 0:00,21,21,水,晴,406,421395,0,0,0,
2021/4/22 0:00,22,22,木,曇時々晴,388,354545,0,0,0,
2021/4/23 0:00,23,23,金,曇,367,359075,0,0,0,
2021/4/24 0:00,24,24,土,曇一時雨後一時晴、雷を伴う,577,603065,0,0,0,
2021/4/25 0:00,25,25,日,晴,687,683695,0,0,0,
2021/4/26 0:00,26,26,月,晴,337,287765,0,0,0,
2021/4/27 0:00,27,27,火,曇,343,307820,0,0,0,
2021/4/28 0:00,28,28,水,雨時々曇,313,311185,0,1,0,
2021/4/29 0:00,29,29,木,雨後曇時々晴,401,440530,1,0,0,
2021/4/30 0:00,30,30,金,曇一時雨後晴、雷を伴う,401,411895,0,0,0,
2021/5/1 0:00,1,1,土,曇時々晴一時雨,488,519340,0,0,0,
2021/5/2 0:00,2,2,日,晴後雨時々曇,706,766660,0,1,0,
2021/5/3 0:00,3,3,月,晴,876,794325,1,1,0,
2021/5/4 0:00,4,4,火,曇一時晴,808,774650,1,1,0,
2021/5/5 0:00,5,5,水,雨時々曇後晴,525,504735,1,0,0,
2021/5/6 0:00,6,6,木,晴,391,328765,0,0,0,
2021/5/7 0:00,7,7,金,雨後曇時々晴,307,291930,0,0,0,
2021/5/8 0:00,8,8,土,曇,467,438215,0,0,0,
2021/5/9 0:00,9,9,日,晴,583,513255,0,0,0,
2021/5/10 0:00,10,10,月,晴,316,301105,0,0,0,
2021/5/11 0:00,11,11,火,曇後時々雨,330,300565,0,0,0,
2021/5/12 0:00,12,12,水,雨,282,274675,0,0,0,
2021/5/13 0:00,13,13,木,曇時々雨一時晴,323,275255,0,0,0,
2021/5/14 0:00,14,14,金,曇時々晴,377,317025,0,0,0,
2021/5/15 0:00,15,15,土,大雨時々曇、雷を伴う,294,314270,0,0,0,
2021/5/16 0:00,16,16,日,曇時々雨,514,462210,0,0,0,
2021/5/17 0:00,17,17,月,曇時々雨,300,249410,0,0,0,
2021/5/18 0:00,18,18,火,曇一時雨,291,261390,0,0,0,
2021/5/19 0:00,19,19,水,曇一時雨後晴,333,301745,0,0,0,
2021/5/20 0:00,20,20,木,大雨、雷を伴う,195,170205,0,0,0,
2021/5/21 0:00,21,21,金,曇時々雨,298,285695,0,0,0,
2021/5/22 0:00,22,22,土,曇後一時晴,546,549210,0,0,0,
2021/5/23 0:00,23,23,日,晴,716,665615,0,0,0,
2021/5/24 0:00,24,24,月,雨時々曇一時晴,328,309675,0,0,0,
2021/5/25 0:00,25,25,火,曇後一時晴,383,330060,0,0,0,
2021/5/26 0:00,26,26,水,曇後時々雨,342,362860,0,0,0,
2021/5/27 0:00,27,27,木,曇一時雨,347,342745,0,0,0,
2021/5/28 0:00,28,28,金,曇,379,379995,0,0,0,
2021/5/29 0:00,29,29,土,晴,642,617870,0,0,0,
2021/5/30 0:00,30,30,日,晴,711,709550,0,0,0,
2021/5/31 0:00,31,31,月,晴,387,394335,0,0,0,
2021/6/1 0:00,1,1,火,晴時々曇,388,354730,0,0,0,
2021/6/2 0:00,2,2,水,曇,363,341630,0,0,0,
2021/6/3 0:00,3,3,木,大雨,276,266575,0,0,0,
2021/6/4 0:00,4,4,金,雨時々曇,279,264550,0,0,0,
2021/6/5 0:00,5,5,土,曇,561,600640,0,0,0,
2021/6/6 0:00,6,6,日,曇,853,805045,0,0,0,
2021/6/7 0:00,7,7,月,晴時々曇,401,344805,0,0,0,
2021/6/8 0:00,8,8,火,晴時々曇,399,358345,0,0,0,
2021/6/9 0:00,9,9,水,晴,455,402075,0,0,0,
2021/6/10 0:00,10,10,木,曇時々晴,416,357460,0,0,0,
2021/6/11 0:00,11,11,金,雨時々曇,329,320565,0,0,0,
2021/6/12 0:00,12,12,土,曇時々雨,548,578430,0,0,0,
2021/6/13 0:00,13,13,日,曇時々雨一時晴,758,721180,0,0,0,
2021/6/14 0:00,14,14,月,晴時々曇,399,374615,0,0,0,
2021/6/15 0:00,15,15,火,曇後時々雨,340,346210,0,0,0,
2021/6/16 0:00,16,16,水,雨時々曇,348,329025,0,0,0,
2021/6/17 0:00,17,17,木,曇一時晴,425,364280,0,0,0,
2021/6/18 0:00,18,18,金,雨時々曇,312,297115,0,0,0,
