日付,day,日,曜,col,客数,売上,祝祭日,祝祭日前日,振替休日,湿度,気温
2021-12-09,9,9,木,晴時々曇,400,326320,0,0,0,77,9.5
2021-12-10,10,10,金,晴時々曇,393,372635,0,0,0,71,11.9
2021-12-11,11,11,土,曇時々晴,484,526290,0,0,0,79,12.9
2021-12-12,12,12,日,曇時々晴,635,678875,0,0,0,69,12.6
2021-12-13,13,13,月,晴,316,323620,0,0,0,63,6.8
2021-12-14,14,14,火,曇時々晴,323,310605,0,0,0,73,6.5
2021-12-15,15,15,水,晴時々曇,391,403050,0,0,0,71,9.9
2021-12-16,16,16,木,雨時々曇,275,313905,0,0,0,86,12.0
2021-12-17,17,17,金,曇後雪時々雨、みぞれを伴う,312,283745,0,0,0,61,7.4
2021-12-18,18,18,土,曇時々晴,391,450840,0,0,0,57,3.0
2021-12-19,19,19,日,みぞれ時々雨後曇一時晴,513,576335,0,0,0,67,6.8
2021-12-20,20,20,月,晴時々曇,358,388665,0,0,0,65,8.7
2021-12-21,21,21,火,曇時々晴,319,272455,0,0,0,69,12.2
2021-12-22,22,22,水,晴一時曇,375,402180,0,0,0,78,9.9
2021-12-23,23,23,木,晴一時曇,341,341270,0,0,0,76,8.6
2021-12-24,24,24,金,晴時々曇後雨,340,369890,0,0,0,86,7.9
2021-12-25,25,25,土,晴一時曇,471,530385,0,0,0,60,5.9
2021-12-26,26,26,日,曇時々晴一時雪,456,538610,0,0,0,46,1.1
2021-12-27,27,27,月,晴時々曇,356,414855,0,0,0,59,2.7
2021-12-28,28,28,火,曇,467,668725,0,0,0,68,5.2
2021-12-29,29,29,水,雨後時々曇,609,769920,0,0,0,79,8.1
2021-12-30,30,30,木,晴時々曇,668,723495,0,0,0,53,7.2
2021-12-31,31,31,金,晴一時雪,311,302220,0,1,0,51,4.2
2022-01-03,3,3,月,晴一時曇,314,326125,0,0,0,70,5.8
2022-01-04,4,4,火,晴一時曇,329,299415,0,0,0,72,5.4
2022-01-05,5,5,水,曇後一時雨,265,225100,0,0,0,75,6.3
2022-01-06,6,6,木,曇時々晴一時雨,286,251645,0,0,0,73,7.9
2022-01-07,7,7,金,晴,299,302945,0,0,0,65,7.7
2022-01-08,8,8,土,晴後一時曇,471,540180,0,0,0,73,7.4
2022-01-09,9,9,日,曇一時晴,552,572500,0,1,0,77,7.3
2022-01-10,10,10,月,晴,444,458125,1,0,0,79,7.5
2022-01-11,11,11,火,雨時々曇一時晴、みぞれを伴う,240,228560,0,0,0,66,5.3
2022-01-12,12,12,水,晴時々曇,263,234025,0,0,0,57,3.1
2022-01-13,13,13,木,雨時々雪一時曇、みぞれを伴う,246,220525,0,0,0,58,4.6
2022-01-14,14,14,金,晴,289,248720,0,0,0,57,3.3
2022-01-15,15,15,土,曇後一時雨,412,444755,0,0,0,72,4.6
2022-01-16,16,16,日,曇時々雨、みぞれを伴う,454,451055,0,0,0,78,6.8
2022-01-17,17,17,月,曇時々晴,299,283480,0,0,0,58,6.4
2022-01-18,18,18,火,晴一時曇、みぞれを伴う,324,260660,0,0,0,56,4.8
2022-01-19,19,19,水,晴,308,273990,0,0,0,63,3.6
2022-01-20,20,20,木,晴一時雪後曇、みぞれを伴う,267,239225,0,0,0,65,5.8
2022-01-21,21,21,金,曇時々晴,284,267655,0,0,0,53,6.8
2022-01-22,22,22,土,曇時々晴,432,434155,0,0,0,70,5.9
2022-01-23,23,23,日,雨,384,384885,0,0,0,98,8.0
2022-01-24,24,24,月,曇時々晴,266,249290,0,0,0,75,8.9
2022-01-25,25,25,火,晴,277,237880,0,0,0,63,8.6
2022-01-26,26,26,水,晴一時曇,309,280860,0,0,0,68,8.9
2022-01-27,27,27,木,曇後時々晴,326,296805,0,0,0,74,7.4
2022-01-28,28,28,金,晴後一時曇,291,278565,0,0,0,68,6.8
2022-01-29,29,29,土,曇後一時晴,405,378740,0,0,0,59,6.6
2022-01-30,30,30,日,曇後時々晴,492,542870,0,0,0,58,6.9
2022-01-31,31,31,月,晴,298,294370,0,0,0,51,5.3
2022-02-01,1,1,火,雨一時雪後曇、みぞれを伴う,261,243315,0,0,0,60,6.0
2022-02-02,2,2,水,曇一時晴,291,255105,0,0,0,70,4.3
2022-02-03,3,3,木,曇後時々晴,284,267120,0,0,0,58,5.8
2022-02-04,4,4,金,晴一時曇,276,247200,0,0,0,53,5.3
2022-02-05,5,5,土,曇後雪時々みぞれ一時雨,326,351740,0,0,0,53,3.2
2022-02-06,6,6,日,晴時々曇一時雪,457,475405,0,0,0,49,3.7
2022-02-07,7,7,月,曇一時晴,265,211250,0,0,0,60,4.8
2022-02-08,8,8,火,雨後曇時々晴,267,236420,0,0,0,67,6.5
2022-02-09,9,9,水,晴一時曇,332,307370,0,0,0,63,8.3
2022-02-10,10,10,木,雨時々曇,303,266445,0,1,0,86,7.3
2022-02-11,11,11,金,曇時々晴一時雨,509,522820,1,0,0,77,6.7
2022-02-12,12,12,土,曇時々晴,565,551185,0,0,0,63,8.9
2022-02-13,13,13,日,雨後曇,414,392985,0,0,0,87,8.3
2022-02-14,14,14,月,曇後晴,319,319620,0,0,0,67,9.1
2022-02-15,15,15,火,晴時々曇,316,305300,0,0,0,58,6.9
2022-02-16,16,16,水,雪時々曇一時みぞれ,265,251950,0,0,0,55,3.0
2022-02-17,17,17,木,晴時々曇一時雪,321,279330,0,0,0,47,1.4
2022-02-18,18,18,金,晴時々曇,352,327240,0,0,0,54,5.4
2022-02-19,19,19,土,雨,354,374915,0,0,0,90,5.6
2022-02-20,20,20,日,雪時々曇後晴,529,565555,0,0,0,50,3.2
2022-02-21,21,21,月,晴時々曇,293,264510,0,0,0,46,3.5
2022-02-22,22,22,火,晴後一時曇,344,339945,0,1,0,46,4.2
2022-02-23,23,23,水,曇後一時晴,505,514025,1,0,0,59,3.0
2022-02-24,24,24,木,晴一時曇,328,308685,0,0,0,57,2.8
2022-02-25,25,25,金,晴,357,337060,0,0,0,60,5.1
2022-02-26,26,26,土,晴時々曇,498,528275,0,0,0,58,8.0
2022-02-27,27,27,日,晴,679,691140,0,0,0,52,8.6
2022-02-28,28,28,月,晴後時々曇,355,351855,0,0,0,61,8.6
2022-03-01,1,1,火,雨時々曇,250,242140,0,0,0,79,12.2
2022-03-02,2,2,水,晴,367,343180,0,0,0,67,8.4
2022-03-03,3,3,木,晴,380,355855,0,0,0,65,8.0
2022-03-04,4,4,金,曇時々晴後雨,349,332510,0,0,0,69,8.4
2022-03-05,5,5,土,晴,547,562065,0,0,0,57,10.5
2022-03-06,6,6,日,晴,663,698870,0,0,0,43,6.4
2022-03-07,7,7,月,曇一時晴,347,322755,0,0,0,56,6.6
2022-03-08,8,8,火,晴,394,388895,0,0,0,67,7.5
2022-03-09,9,9,水,晴,415,410265,0,0,0,63,10.1
2022-03-10,10,10,木,晴,361,358110,0,0,0,62,10.2
2022-03-11,11,11,金,晴時々曇,343,327800,0,0,0,59,14.8
2022-03-12,12,12,土,晴,589,564775,0,0,0,65,17.6
2022-03-13,13,13,日,曇後一時雨,669,640065,0,0,0,76,18.1
2022-03-14,14,14,月,曇時々雨一時晴,356,348980,0,0,0,86,18.0
2022-03-15,15,15,火,晴,375,364265,0,0,0,77,13.7
2022-03-16,16,16,水,晴,380,376910,0,0,0,77,14.5
2022-03-17,17,17,木,曇時々晴,425,425295,0,0,0,87,13.1
2022-03-18,18,18,金,雨後曇一時晴,359,370155,0,0,0,96,11.0
2022-03-19,19,19,土,雨時々曇,543,655265,0,0,0,83,9.6
2022-03-20,20,20,日,曇一時晴,842,948790,0,1,0,81,9.5
2022-03-21,21,21,月,曇時々雨,657,697200,1,0,0,78,10.6
2022-03-22,22,22,火,雨時々晴後曇,342,335665,0,0,0,83,10.3
2022-03-23,23,23,水,雨時々曇,321,326390,0,0,0,80,8.8
2022-03-24,24,24,木,曇一時雨後晴、霧を伴う,318,273450,0,0,0,78,9.7
2022-03-25,25,25,金,晴後時々曇,394,383130,0,0,0,65,14.5
2022-03-26,26,26,土,大雨後曇,359,395805,0,0,0,87,15.8
2022-03-27,27,27,日,曇後晴,709,724710,0,0,0,73,14.7
2022-03-28,28,28,月,曇,405,396520,0,0,0,62,12.1
2022-03-29,29,29,火,曇時々晴,435,418910,0,0,0,75,12.7
2022-03-30,30,30,水,曇後一時雨,413,386175,0,0,0,82,16.8
2022-03-31,31,31,木,雨後時々曇一時晴,360,352765,0,0,0,91,14.1
2022-04-01,1,1,金,晴,412,392200,0,0,0,57,11.4
2022-04-02,2,2,土,晴,599,640090,0,0,0,60,9.8
2022-04-03,3,3,日,晴,772,758635,0,0,0,68,10.4
2022-04-04,4,4,月,晴,402,379285,0,0,0,67,11.9
2022-04-05,5,5,火,晴,347,337560,0,0,0,67,12.0
2022-04-06,6,6,水,晴,326,291540,0,0,0,64,13.7
2022-04-07,7,7,木,晴,351,344890,0,0,0,66,14.9
2022-04-08,8,8,金,晴,395,372625,0,0,0,72,14.1
2022-04-09,9,9,土,晴,622,618860,0,0,0,48,16.9
2022-04-10,10,10,日,晴,733,738660,0,0,0,63,17.8
2022-04-11,11,11,月,晴,338,339775,0,0,0,80,17.8
2022-04-12,12,12,火,曇,346,318520,0,0,0,90,19.3
2022-04-13,13,13,水,曇,372,360875,0,0,0,94,15.9
2022-04-14,14,14,木,雨,288,275620,0,0,0,100,14.6
2022-04-15,15,15,金,曇,401,397630,0,0,0,88,12.7
2022-04-16,16,16,土,晴,649,700600,0,0,0,67,12.4
